day,id,city,state,kind,major,lat,lng,address,highway,note,eat,see
0,nyc,New York City,NY,start,True,40.7128,-74.006,"Manhattan, New York, NY",Start,Leave the LIC / UWS hotel by 7 AM. Uber to EWR to pick up the SUV. Wheels rolling on I-78 W by 8:15.,Bagel and coffee before the tunnel.,Skyline in the rearview from the Lincoln Tunnel approach.
1,clinton,Clinton,NJ,meal,False,40.6367,-74.9083,"Clinton Station Diner, 2 Bank St, Clinton, NJ 08809",I-78 W · Exit 15,First flush stop. Walk the lot for five minutes before you sit down.,"Clinton Station Diner — real Jersey diner, sit at the counter.",Nothing scenic yet — this stop is for the legs.
1,front-royal,Front Royal,VA,meal,False,38.9155,-78.1975,"Spelunker's, 116 South St, Front Royal, VA 22630",I-81 S · US-340,Fill the tank here. No fuel available inside Shenandoah NP in November.,Spelunker's — cavern-themed burger + frozen custard.,Shenandoah River from the bridge on your way in.
1,big-meadows,Big Meadows,VA,scenic,False,38.5218,-78.4358,"Big Meadows Wayside, Skyline Drive mp 51, Shenandoah NP",Skyline Drive · mp 51,"Pit stop and horizon check. Ten minutes, then back on Skyline south.",Thermos coffee refill only.,Open sky over the meadow. Deer at any hour.
1,blackrock,Blackrock Summit,VA,activity,False,38.2338,-78.7328,"Blackrock Summit Trailhead, Skyline Drive mp 84.8",Skyline Drive · mp 84.8,"1.0 mi loop, 175 ft gain, ~45 min. Non-optional recovery flush.",Snack in the day pack. Water — 1L minimum.,360° stone-field summit. Four ridges deep.
1,harrisonburg,Harrisonburg,VA,overnight,True,38.434,-78.8697,"Hotel Madison, 710 S Main St, Harrisonburg, VA 22801",US-33 W · via Swift Run Gap,Hotel Madison is the pick. Alt: Blackburn Inn in Staunton (25 mi south).,Jack Brown's Beer & Burger or Pale Fire Brewing.,Downtown Harrisonburg. Walkable.
2,rockfish-gap,Rockfish Gap,VA,scenic,False,38.0338,-78.8583,"Blue Ridge Parkway mp 0, Waynesboro, VA",I-64 E · BRP entry,Fuel and provisions before entering. No gas on the BRP itself.,Coffee thermos filled at Shen Valley in Harrisonburg.,Blue Ridge Parkway mp 0 sign.
2,peaks-of-otter,Peaks of Otter,VA,scenic,False,37.4463,-79.6058,"Peaks of Otter, BRP mp 86, Bedford, VA",Blue Ridge Parkway · mp 86,"BRP highlight. 30 min minimum, 1 hr if the light is good.",Sharp Top Trail overlook lunch. Sandwich from the wayside store.,Abbott Lake reflection of Sharp Top.
2,asheville,Asheville,NC,overnight,True,35.5951,-82.5515,"Downtown Asheville, NC",US-11 · I-81 S · I-40 W,"Cut Mabry Mill for time. Drop off BRP near Buchanan, take I-81/I-40.",Wicked Weed / Burial Beer / Cúrate / 12 Bones BBQ.,River Arts District (RAD) if you have daylight.
3,newfound-gap,Newfound Gap,TN/NC,scenic,False,35.6111,-83.4247,"Newfound Gap Overlook, Great Smoky Mountains NP",US-441 · Newfound Gap Rd,Pivot moment: leaving the East. ~20 min stop.,Nothing — no food service in the park corridor.,State line marker. Appalachian Trail crosses here.
